Date,zone,centre,Price
19-05-93,1,HISAR,332
19-05-93,1,KARNAL,330
19-05-93,1,SHIMLA,NA
19-05-93,1,MANDI,336
19-05-93,1,SRINAGAR,NA
19-05-93,1,JAMMU,NA
19-05-93,1,AMRITSAR,330
19-05-93,1,LUDHIANA,335
19-05-93,1,LUCKNOW,320
19-05-93,1,KANPUR,325
19-05-93,1,CHANDIGARH,NA
19-05-93,1,DELHI,345
19-05-93,2,AHMEDABAD,NA
19-05-93,2,RAJKOT,340
19-05-93,2,PANAJI,NA
19-05-93,2,BHOPAL,375
19-05-93,2,INDORE,395
19-05-93,2,MUMBAI,500
19-05-93,2,NAGPUR,425
19-05-93,2,JAIPUR,320
19-05-93,2,JODHPUR,330
19-05-93,3,GUWAHATI,NA
19-05-93,3,PATNA,NA
19-05-93,3,SHILLONG,NA
19-05-93,3,AIZAWL,NA
19-05-93,3,BHUBANESHWAR,NA
19-05-93,3,CUTTACK,NA
19-05-93,3,KOLKATA,NA
19-05-93,3,AGARTALA,NA
19-05-93,4,HYDERABAD,550
19-05-93,4,VIJAYAWADA,700
19-05-93,4,BANGALORE,500
19-05-93,4,THIRUVANANTHAPURAM,NA
19-05-93,4,ERNAKULAM,NA
19-05-93,4,CHENNAI,530
19-05-93,4,MADURAI,550
19-05-93,4,PONDICHERRY,NA
26-05-93,1,HISAR,330
26-05-93,1,KARNAL,330
26-05-93,1,SHIMLA,NA
26-05-93,1,MANDI,336
26-05-93,1,SRINAGAR,NA
26-05-93,1,JAMMU,NA
26-05-93,1,AMRITSAR,NA
26-05-93,1,LUDHIANA,NA
26-05-93,1,LUCKNOW,325
26-05-93,1,KANPUR,330
26-05-93,1,CHANDIGARH,NA
26-05-93,1,DELHI,345
26-05-93,2,AHMEDABAD,510
26-05-93,2,RAJKOT,345
26-05-93,2,PANAJI,500
26-05-93,2,BHOPAL,375
26-05-93,2,INDORE,395
26-05-93,2,MUMBAI,500
26-05-93,2,NAGPUR,450
26-05-93,2,JAIPUR,320
26-05-93,2,JODHPUR,330
26-05-93,3,GUWAHATI,NA
26-05-93,3,PATNA,NA
26-05-93,3,SHILLONG,475
26-05-93,3,AIZAWL,NA
26-05-93,3,BHUBANESHWAR,NA
26-05-93,3,CUTTACK,NA
26-05-93,3,KOLKATA,NA
26-05-93,3,AGARTALA,NA
26-05-93,4,HYDERABAD,550
26-05-93,4,VIJAYAWADA,700
26-05-93,4,BANGALORE,NA
26-05-93,4,THIRUVANANTHAPURAM,NA
26-05-93,4,ERNAKULAM,NA
26-05-93,4,CHENNAI,520
26-05-93,4,MADURAI,550
26-05-93,4,PONDICHERRY,580
02-06-93,1,HISAR,330
02-06-93,1,KARNAL,330
02-06-93,1,SHIMLA,NA
02-06-93,1,MANDI,350
02-06-93,1,SRINAGAR,NA
